date,season,location,time,reef_zone,lat,lon,reef_name,reef,Fistularia commersonii,fish,abundance,size,visibility,temp,comments,Distribution,a,b,first_maturity, reef_fidelity,comments
06/11/2017,fall,sdot_yam,09:00,boya_line,32.492550,34.877280,True,True ,Alepes djedaba,1,20,15,,22,,Indo-Pacific,0.0488,2.816,18.9,Occasional, high-mobility species
06/11/2017,fall,sdot_yam,09:00,boya_line,32.492550,34.877280,True,True ,Alepes djedaba,1,5,10,,22,,Indo-Pacific,0.0488,2.816,18.9,Occasional, high-mobility species
06/11/2017,fall,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,7,12,,22,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
06/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,50,20,,22,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
06/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,8,,24,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
06/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,1,7,,22,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
06/11/2017,fall,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Torquigener flavimaculosus,1,2,7,,22,,Indo-Pacific,0.0403,2.902,NA,Transient ,species showing low reef- fidelity
06/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,200,20,,22,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
14/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Alepes djedaba,1,2,15,,22,,Indo-Pacific,0.0488,2.816,18.9,Occasional, high-mobility species
14/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Mycteroperca rubra,1,1,6,,22,,Eastern Atlantic - Mediterranean,0.0166,3,35,Resident ,Species showing high reef-fidelity
14/11/2017,fall,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,5,12,,22,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
14/11/2017,fall,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,2,10,,22,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
14/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,50,20,,22,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
14/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,50,17,,22,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
14/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Sargocentron rubrum,1,1,6,,22,,Indo-Pacific,0.01801,3.015,NA,Resident ,Species showing high reef-fidelity
14/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,8,,22,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
14/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,15,8,,22,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
14/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,8,17,,22,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
14/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,500,20,,22,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
22/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Alepes djedaba,1,3,15,,22,,Indo-Pacific,0.0488,2.816,18.9,Occasional, high-mobility species
22/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Atherina sp.,1,50,10,,22,,Eastern Atlantic - Mediterranean, 0.0059,3.07,5.8,Transient ,species showing low reef- fidelity
22/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Atherina sp.,1,100,12,,22,,Eastern Atlantic - Mediterranean, 0.0059,3.07,5.8,Transient ,species showing low reef- fidelity
22/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Mycteroperca rubra,1,1,30,,22,,Eastern Atlantic - Mediterranean,0.0166,3,35,Resident ,Species showing high reef-fidelity
22/11/2017,fall,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,6,12,,22,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
22/11/2017,fall,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,3,10,,22,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
22/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Sargocentron rubrum,1,1,10,,22,,Indo-Pacific,0.01801,3.015,NA,Resident ,Species showing high reef-fidelity
22/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,12,,22,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
22/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,10,8,,22,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
22/11/2017,fall,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,1,12,,22,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
22/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Spicara smaris,1,30,12,,22,,Eastern Atlantic - Mediterranean,0.0105,2.97,8.9,Transient ,species showing low reef- fidelity
22/11/2017,fall,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Stephanolepis diaspros,1,1,15,,22,,Indo-Pacific,0.0162,3.03,NA,Resident ,Species showing high reef-fidelity
22/11/2017,fall,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,1500,12,,22,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
12/12/2017,winter,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Boops boops,1,200,12,,21,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
12/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,40,,21,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
12/12/2017,winter,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,1,7,,21,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
12/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,150,17,,21,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
12/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Sargocentron rubrum,1,1,20,,21,,Indo-Pacific,0.01801,3.015,NA,Resident ,Species showing high reef-fidelity
12/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,10,,21,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
12/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,3,8,,21,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
12/12/2017,winter,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Spicara smaris,1,3,15,,21,,Eastern Atlantic - Mediterranean,0.0105,2.97,8.9,Transient ,species showing low reef- fidelity
12/12/2017,winter,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,1500,17,,21,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
21/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,20,25,20,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
21/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,30,25,20,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
21/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,25,25,20,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
21/12/2017,winter,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,11,12,25,20,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
21/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Sargocentron rubrum,1,1,20,25,20,,Indo-Pacific,0.01801,3.015,NA,Resident ,Species showing high reef-fidelity
21/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,12,25,20,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
21/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,2,12,25,20,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
28/12/2017,winter,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Alepes djedaba,1,4,20,7,19,,Indo-Pacific,0.0488,2.816,18.9,Occasional, high-mobility species
28/12/2017,winter,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Atherinomorus lacunosus,1,500,15,7,19,,Indo-Pacific,0.0079, 3.19,NA,Transient ,species showing low reef- fidelity
28/12/2017,winter,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Boops boops,1,300,10,7,19,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
28/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,20,7,19,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
