species,Family
Alepes djedaba,Carangidae
Apogon imberbis,Apogonidae
Apogonichthyoides pharaonis,Apogonidae
Atherina sp.,Atherinidae
Atherinomorus lacunosus,Atherinidae
Balistes capriscus,Balistidae
blenny,Blenniidae
Boops boops,Sparidae
Caranx crysos,Carangidae
Cheilodipterus novemstriatus,Apogonidae
Chromis chromis,Pomacentridae
Coris julis,Labridae
Diplodus sargus,Sparidae
Diplodus vulgaris,Sparidae
Echeneis naucrates,Echeneidae
Epinephelus aeneus,Serranidae
Epinephelus costae,Serranidae
Epinephelus marginatus,Serranidae
Fistularia commersonii,Fistulariidae
Gobius bucchichi,Gobiidae
Herklotsichthys punctatus,Clupeidae
Hypleurochilus bananensis,Blenniidae
Lagocephalus sceleratus,Tetraodontidae
Mullus surmuletus,Mullidae
Muraena helena,Muraenidae
Mycteroperca rubra,Serranidae
Pagellus acarne,Sparidae
Pagrus coeruleostictus, Sparidae
Parablennius incognitus ,Blenniidae
Parablennius tentacularis,Blenniidae
Parablennius zvonimiri ,Blenniidae
Parupeneus forskalii,Mullidae
Pempheris vanicolensis,Pempheridae
Plotosus lineatus,Plotosidae
Pomadasys stridens,Haemulidae
Pterois miles,Scorpaenidae
Sargocentron rubrum,Holocentridae
Scomberomorus commerson,Scombridae
Scorpaena maderensis,Scorpaenidae
Seriola dumerili,Carangidae
Serranus cabrilla ,Serranidae
Serranus scriba,Serranidae
Siganus rivulatus,Siganidae
Sparisoma cretense,Scaridae
sparus aurata,Sparidae
Sphyraena chrysotaenia,Sphyraenidae
Sphyraena sp.,Sphyraenidae
Spicara smaris,Sparidae
Stephanolepis diaspros,Monacanthidae
Terapon puta,Terapontidae
Thalassoma pavo,Labridae
Torquigener flavimaculosus,Tetraodontidae
Trachrus sp.,Carangidae
Upeneus moluccensis, Mullidae
Upeneus pori, Mullidae
